titre,date_de_sortie,genres,directeur,acteurs,synopsis,note_presse,note_spectateurs,nationalite,budget,box_office_france,prix_et_nominations
SISU - De l'Or et du Sang,"
21 juin 2023
","['Action', 'Guerre']",Jalmari Helander,"['Jorma Tommila', 'Aksel Hennie', 'Jack Doolan']","
Finlande, 1944. Dans la nature sauvage et hostile de la Laponie, alors occupée par les nazis, un ancien soldat découvre un gisement d’or.","2,7","3,3",[' Finlande'],,"
74 711 entrées
","
74 711 entrées
"
Limbo,"
12 juillet 2023
","['Thriller', 'Policier', 'Drame']",Soi Cheang,"['Ka Tung Lam', 'Yase Liu', 'Mason Lee']","
Dans les bas-fonds de Hong-Kong, un flic vétéran et son jeune supérieur doivent faire équipe pour arrêter un tueur qui s’attaque aux femmes, laissant leur main coupée pour seule signature. Quand toutes leurs pistes s’essoufflent, ils décident d’utiliser une jeune délinquante comme appât.
","4,0","3,8","[' Hong-Kong', ' Chine']",,"
17 806 entrées
","
2 prix et 5 nominations
"
Les Herbes sèches,"
12 juillet 2023
",['Drame'],Nuri Bilge Ceylan,"['Deniz Celiloğlu', 'Merve Dizdar', 'Musab Ekici']","
","4,0","4,1","[' Turquie', ' France', ' Allemagne', ' Suède']",,"
22 709 entrées
","
1 prix et 5 nominations
"
Le Retour,"
12 juillet 2023
",['Drame'],Catherine Corsini,"['Aïssatou Diallo Sagna', 'Suzy Bemba', 'Esther Gohourou']","
Khédidja travaille pour une famille parisienne aisée qui lui propose de s'occuper des enfants le temps d’un été en Corse. L'opportunité pour elle de retourner avec ses filles, Jessica et Farah, sur cette île qu'elles ont quittée quinze ans plus tôt dans des circonstances tragiques. ","3,1","3,4",[' France'],,"
17 307 entrées
","
5 nominations
"
Astérix et Obélix : Mission Cléopâtre,"
30 janvier 2002
",['Comédie'],Alain Chabat,"['Gérard Depardieu', 'Christian Clavier', 'Jamel Debbouze']","
Cléopâtre, la reine d’Égypte, décide, pour défier l'Empereur romain Jules César, de construire en trois mois un palais somptueux en plein désert. Si elle y parvient, celui-ci devra concéder publiquement que le peuple égyptien est le plus grand de tous les peuples. Pour ce faire, Cléopâtre fait appel à Numérobis, un architecte d'avant-garde plein d'énergie. S'il réussit, elle le couvrira d'or. S'il échoue, elle le jettera aux crocodiles.","3,8","4,1",[' France'],,"
14 194 819 entrées
","
1 prix et 2 nominations
"
The Flash,"
14 juin 2023
","['Action', 'Science fiction', 'Fantastique']",Andy Muschietti,"['Ezra Miller', 'Sasha Calle', 'Michael Shannon']","
Les réalités s’affrontent dans THE FLASH lorsque Barry se sert de ses super-pouvoirs pour remonter le temps et modifier son passé. Mais ses efforts pour sauver sa famille ne sont pas sans conséquences sur l’avenir, et Barry se retrouve pris au piège d’une réalité où le général Zod est de retour, menaçant d’anéantir la planète, et où les super-héros ont disparu. À moins que Barry ne réussisse à tirer de sa retraite un Batman bien changé et à venir en aide à un Kryptonien incarcéré, qui n’est pas forcément celui qu’il recherche. Barry s’engage alors dans une terrible course contre la montre pour protéger le monde dans lequel il est et retrouver le futur qu’il connaît. Mais son sacrifice ultime suffira-t-il à sauver l’univers ?
","2,5","3,0",[' U.S.A.'],,"
838 501 entrées
","
838 501 entrées
"
Le Challenge,"
21 juin 2023
",['Comédie'],Gene Stupnitsky,"['Jennifer Lawrence', 'Andrew Barth Feldman', 'Laura Benanti']","
Maddie est sur le point de perdre sa maison d’enfance et elle pense avoir trouvé la solution à ses problèmes financiers lorsqu’elle tombe sur une offre d’emploi intrigante : parents fortunés cherchent quelqu’un pour emmener Percy, leur fils introverti de 19 ans, dans une série de « dates » afin de le décoincer avant qu’il ne parte pour l’université. A la grande surprise de Maddie, Percy rend ce challenge plus compliqué que prévu et le temps est compté. Elle a un été pour relever ce challenge ou se retrouver sans toit.
","3,0","3,1",[' U.S.A.'],,"
116 813 entrées
","
116 813 entrées
"
Les Algues vertes,"
12 juillet 2023
","['Drame', 'Thriller']",Pierre Jolivet,"['Céline Sallette', 'Nina Meurisse', 'Julie Ferrier']","
À la suite de morts suspectes, Inès Léraud, jeune journaliste, décide de s’installer en Bretagne pour enquêter sur le phénomène des algues vertes. À travers ses rencontres, elle découvre la fabrique du silence qui entoure ce désastre écologique et social. Face aux pressions, parviendra-t-elle à faire triompher la vérité ?","3,5","4,0","[' France', ' Belgique']",,"
85 163 entrées
","
1 nomination
"
Miraculous - le film,"
5 juillet 2023
","['Animation', 'Action', 'Aventure', 'Comédie musicale']",Jeremy Zag,"['Anouck Hautbois', 'Benjamin Bollen', 'Antoine Tomé']","
La super-héroïne, qui a conquis le cœur de millions de fans à travers le monde, débarque pour la première fois au cinéma ! Ladybug va devoir unir ses forces avec Chat Noir, le charismatique justicier masqué qui n’a pas sa langue dans sa poche, pour affronter le Papillon et sa horde de super-vilains, alors que ceux-ci menacent de détruire Paris. Mais, alors que les deux héros se rapprochent, Marinette ignore que derrière son mystérieux complice se cache Adrien, le camarade de classe dont elle est amoureuse…
","2,7","2,7",[' France'],,"
888 075 entrées
","
888 075 entrées
"
Barbie,"
19 juillet 2023
","['Aventure', 'Comédie', 'Famille']",Greta Gerwig,"['Marisa Abela', 'Margot Robbie', 'Ryan Gosling']","
A Barbie Land, vous êtes un être parfait dans un monde parfait. Sauf si vous êtes en crise existentielle, ou si vous êtes Ken.
","3,4","3,5","[' U.S.A.', ' Grande-Bretagne']",,"
359 889 entrées
","
359 889 entrées
"
Mission: Impossible – Dead Reckoning Partie 1,"
12 juillet 2023
","['Action', 'Espionnage', 'Aventure']",Christopher McQuarrie,"['Tom Cruise', 'Hayley Atwell', 'Ving Rhames']","
Dans Mission: Impossible - Dead Reckoning Partie 1, Ethan Hunt et son équipe de l’IMF se lancent dans leur mission la plus périlleuse à ce jour : traquer une effroyable nouvelle arme avant que celle-ci ne tombe entre de mauvaises mains et menace l’humanité entière.","4,0","4,2",[' U.S.A.'],,"
773 198 entrées
","
773 198 entrées
"
Élémentaire,"
21 juin 2023
","['Animation', 'Comédie', 'Famille']",Peter Sohn,"['Adèle Exarchopoulos', 'Leah Lewis', 'Vincent Lacoste']","
Dans la ville d’Element City, le feu, l’eau, la terre et l’air vivent dans la plus parfaite harmonie. C’est ici que résident Flam, une jeune femme intrépide et vive d’esprit, au caractère bien trempé, et Flack, un garçon sentimental et amusant, plutôt suiveur dans l’âme. L’amitié qu’ils se portent remet en question les croyances de Flam sur le monde dans lequel ils vivent...
","3,5","3,9",[' U.S.A.'],,"
1 659 012 entrées
","
1 nomination
"
Oppenheimer,"
19 juillet 2023
","['Biopic', 'Historique', 'Thriller']",Christopher Nolan,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon']","
En 1942, convaincus que l’Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le ""Projet Manhattan"" destiné à mettre au point la première bombe atomique de l’histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien, qui sera bientôt surnommé ""le père de la bombe atomique"". C’est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point une arme révolutionnaire dont les conséquences, vertigineuses, continuent de peser sur le monde actuel…
","3,8","4,4",[' U.S.A.'],,"
159 674 entrées
","
159 674 entrées
"
