title,nbre_entrees,id,distributeur,country,genre,date,budget,public,durée,Name1,Name2,year,month,week,season
Asterix aux Jeux Olympiques,3007811,3,Pathé,France,Comédie,2008-01-30,74982618,Tous publics,114,3,7,2008,1,5,1
Quantum of Solace,1703897,4,Sony Pictures,Etats-Unis,Aventure - Action,2008-10-31,225000000,Tous publics,107,7,11,2008,10,44,4
Indiana Jones et le Royaume du crane de cristal,1674041,5,Paramount,Etats-Unis,Aventure - Action,2008-05-21,185000000,Tous publics,125,22,15,2008,5,21,2
Le Monde de Narnia : chapitre 2 - Prince Caspian,994686,6,Walt Disney Pictures,Etats-Unis,Fantasy,2008-06-25,225000000,Tous publics,169,3,13,2008,6,26,2
"The Dark Knight, Le Chevalier Noir",1271688,7,Warner Bros.,Etats-Unis,Comicbook,2008-08-13,185000000,Tous publics,150,10,14,2008,8,33,3
Kung Fu Panda,955571,8,Paramount,Etats-Unis,Animation 3D,2008-09-07,130000000,Tous publics,91,1,13,2008,9,36,3
La Momie 3 : La Malédiction du dragon,695628,9,Universal,Etats-Unis,Aventure - Action,2008-06-08,175000000,Tous publics,114,7,7,2008,6,23,2
Hellboy II les légions d'or maudites,408413,10,Universal,Etats-Unis,Comicbook,2008-10-29,85000000,Tous publics,110,7,4,2008,10,44,4
Madagascar 2 : la grande évasion,1338230,11,Paramount,Etats-Unis,Animation 3D,2008-03-12,150000000,Tous publics,89,6,2,2008,3,11,1
Harry Potter et le Prince de sang-mêlé,2882397,12,Warner Bros.,Etats-Unis,Fantasy,2009-07-15,200000000,Tous publics,153,8,8,2009,7,29,3
John Rambo,391630,13,Metropolitan,Etats-Unis,Guerre,2008-06-02,50000000,Moins de 12 ans,93,8,12,2008,6,23,2
Babylon A.D.,408410,14,Studiocanal,France,Science Fiction,2008-08-20,61479748,Tous publics,101,3,14,2008,8,34,3
Iron Man,866316,16,SND,Etats-Unis,Comicbook,2008-04-30,140000000,Tous publics,130,7,12,2008,4,18,2
Speed Racer,61860,17,Warner Bros.,Etats-Unis,Aventure - Action,2008-06-18,120000000,Tous publics,135,5,5,2008,6,25,2
L'Incroyable Hulk,517088,18,SND,Etats-Unis,Comicbook,2008-07-23,125000000,Tous publics,114,7,7,2008,7,30,3
Hancock,1265163,19,Sony Pictures,Etats-Unis,Comicbook,2008-09-07,150000000,Tous publics,92,9,16,2008,9,36,3
Anges & Démons,805694,21,Sony Pictures,Etats-Unis,Thriller,2009-05-13,150000000,Tous publics,140,15,23,2009,5,20,2
Les Noces rebelles,409884,22,Paramount,Etats-Unis,Drame,2009-01-21,35000000,Tous publics,119,8,19,2009,1,4,1
L'Etrange histoire de Benjamin Button,826315,24,Warner Bros.,Etats-Unis,Comédie dramatique,2009-04-02,150000000,Tous publics,168,8,13,2009,4,14,2
Spider-Man 3,804345,25,Gaumont Sony,Etats-Unis,Comicbook,2007-01-05,258000000,Tous publics,135,12,7,2007,1,1,1
La Môme,1573648,26,TFM Distribution,France,Drame,2007-02-14,20757242,Tous publics,140,4,12,2007,2,7,1
Taxi 4,2010736,27,EuropaCorp,France,Comédie,2007-02-14,17316532,Tous publics,91,3,2,2007,2,7,1
"Pirates des Caraïbes, jusqu'au bout du monde",2709377,28,Walt Disney Pictures,Etats-Unis,Aventure - Action,2007-05-23,300000000,Tous publics,168,9,19,2007,5,21,2
"Ensemble, c'est tout",657191,29,Pathé,France,Romance,2007-03-21,12215023,Tous publics,97,2,6,2007,3,12,1
300,802975,30,Warner Bros.,Etats-Unis,Péplum,2007-03-21,60000000,Moins de 12 ans,117,5,11,2007,3,12,1
Molière,341820,33,Wild Bunch,France,Comédie,2007-01-31,11581667,Tous publics,120,4,5,2007,1,5,1
Ghost Rider,523901,34,SND,Etats-Unis,Comicbook,2007-02-21,120000000,Tous publics,114,9,7,2007,2,8,1
Les Vacances de Mr. Bean,383904,35,Studiocanal,Grande-Bretagne,Comédie,2007-04-18,20000000,Tous publics,89,4,9,2007,4,16,2
Zodiac,462343,38,Warner Bros.,Etats-Unis,Thriller,2007-05-17,85000000,Tous publics,156,8,12,2007,5,20,2
Jacquou Le Croquant,378651,42,Pathé,France,Drame,2007-01-17,20311000,Tous publics,150,1,4,2007,1,3,1
Pars vite et reviens tard,420262,44,Gaumont Sony,France,Thriller,2007-01-24,16026815,Tous publics,115,1,3,2007,1,4,1
Le Serpent (2007),304325,46,Wild Bunch,France,Thriller,2007-10-01,8800000,Moins de 12 ans,119,2,7,2007,10,40,4
Le Come back,414487,47,Warner Bros.,Etats-Unis,Romance,2007-03-14,40000000,Tous publics,96,4,12,2007,3,11,1
Le Nombre 23,237466,50,Metropolitan,Etats-Unis,Thriller,2007-02-28,30000000,Tous publics,95,10,13,2007,2,9,1
L'ïle au(x) trésor(s),271757,52,Bac Films,France,Chasse au trésor,2007-01-31,15200000,Tous publics,100,3,5,2007,1,5,1
Shooter - tireur d'élite,183930,54,Paramount,Etats-Unis,Aventure - Action,2007-04-18,60000000,Tous publics,124,11,22,2007,4,16,2
Les Témoins (2007),132701,56,UGC Distribution,France,Drame,2007-07-03,6800000,Tous publics,115,6,2,2007,7,27,3
Dialogue avec mon jardinier,321480,63,Studiocanal,France,Comédie,2007-06-06,8730000,Tous publics,110,2,9,2007,6,23,2
Norbit,135779,67,Paramount,Etats-Unis,Comédie,2007-04-04,60000000,Tous publics,110,7,5,2007,4,14,2
Ecrire pour exister,163878,68,Paramount,Etats-Unis,Drame,2007-03-14,21000000,Tous publics,123,4,2,2007,3,11,1
88 Minutes,135889,75,Metropolitan,Etats-Unis,Thriller,2007-05-30,30000000,PG,110,2,7,2007,5,22,2
Le Scaphandre et le papillon,101785,77,Pathé,France,Drame,2007-05-23,10800000,Tous publics,112,1,5,2007,5,21,2
Angel (2007),102276,86,Wild Bunch,France,Drame,2007-03-14,14920000,Tous publics,114,10,2,2007,3,11,1
Jean de La Fontaine,83188,90,Rezo Films,France,Drame,2007-04-18,7490000,Tous publics,102,2,1,2007,4,16,2
"TMNT, Les Tortues Ninja (2007)",87463,93,Warner Bros.,Etats-Unis,Animation,2007-11-04,34000000,Tous publics,90,5,3,2007,11,44,4
"Bande de sauvages, vieux motard que jamais",150362,114,Walt Disney Pictures,Etats-Unis,Comédie,2007-06-13,60000000,Tous publics,99,3,8,2007,6,24,2
Faussaire,31206,115,Metropolitan,Etats-Unis,Drame,2007-06-13,50000000,Tous publics,115,10,5,2007,6,24,2
Shrek Le Troisième,1751471,116,Paramount,Etats-Unis,Animation 3D,2007-06-13,160000000,Tous publics,92,4,5,2007,6,24,2
Gomes Vs Tavares,93549,118,SND,France,Comédie,2007-06-13,7780000,Tous publics,96,3,3,2007,6,24,2
Ocean's Thirteen,871826,120,Warner Bros.,Etats-Unis,Aventure - Action,2007-06-20,85000000,Tous publics,121,15,19,2007,6,25,2
The Lookout,12386,123,Walt Disney Pictures,Etats-Unis,Thriller,2007-06-27,16000000,Tous publics,98,6,8,2007,6,26,2
Die Hard 4 - retour en enfer,1011566,127,20th Century Fox,Etats-Unis,Aventure - Action,2007-04-07,110000000,Tous publics,130,3,17,2007,4,14,2
Harry Potter et l'Ordre du Phénix,2486291,133,Warner Bros.,Etats-Unis,Fantasy,2007-11-07,150000000,Tous publics,138,8,8,2007,11,45,4
Alerte à Miami / Reno 911 !,1321,134,Paramount,Etats-Unis,Comédie,2007-07-18,10000000,Tous publics,84,3,7,2007,7,29,3
Hot Fuzz,101302,138,Studiocanal,Grande-Bretagne,Comédie,2007-07-18,12000000,Tous publics,120,4,7,2007,7,29,3
Transformers,956475,139,Paramount,Etats-Unis,Science Fiction,2007-07-25,150000000,Tous publics,144,12,7,2007,7,30,3
Mi$e à prix,60246,142,Studiocanal,Etats-Unis,Thriller,2007-01-08,17000000,Moins de 12 ans,108,3,4,2007,1,2,1
Motel,53122,144,Sony Pictures,Etats-Unis,Thriller,2007-01-08,19000000,Moins de 12 ans,80,2,7,2007,1,2,1
Les 4 Fantastiques et le Surfeur d'Argent,710287,148,20th Century Fox,Etats-Unis,Extra-terrestre,2007-08-08,130000000,PG,89,5,5,2007,8,32,3
Evan tout puissant,150994,150,Paramount,Etats-Unis,Comédie,2007-08-15,175000000,Tous publics,96,6,10,2007,8,33,3
Je crois que j'aime ma femme,1233,153,20th Century Fox,Etats-Unis,Comédie,2007-08-29,11000000,Tous publics,90,2,10,2007,8,35,3
Mr. Brooks,169740,154,Fabrique de Films,Etats-Unis,Thriller,2007-08-29,20000000,Moins de 12 ans,120,6,3,2007,8,35,3
Quand Chuck rencontre Larry,36264,155,Paramount,Etats-Unis,Comédie,2007-08-29,85000000,Tous publics,119,8,1,2007,8,35,3
Antonio Vivaldi: Un prince à Venise,29523,156,CQFD,France,Comédie dramatique,2007-08-29,1500000,Tous publics,95,1,1,2007,8,35,3
Hairspray (2007),217088,160,Metropolitan,Etats-Unis,Musical,2007-08-22,75000000,Tous publics,105,4,6,2007,8,34,3
La Vengeance dans la peau,584326,161,Paramount,Etats-Unis,Aventure - Action,2007-12-09,110000000,Tous publics,111,5,24,2007,12,49,4
Invasion,90547,162,Warner Bros.,Etats-Unis,Thriller,2007-10-17,80000000,Tous publics,93,5,11,2007,10,42,4
Un secret,458730,165,UGC Distribution,France,2ème Guerre mondiale,2007-03-10,10972547,Tous publics,106,2,3,2007,3,10,1
My Blueberry Nights,150199,166,Studiocanal,France,Comédie dramatique,2007-11-28,10000000,Tous publics,94,1,9,2007,11,48,4
Un cœur invaincu,100665,168,Paramount,Etats-Unis,Drame,2007-09-19,16000000,Tous publics,100,3,14,2007,9,38,3
Chambre 1408,162862,169,TFM Distribution,Etats-Unis,Thriller,2008-01-16,25000000,Tous publics,94,7,5,2008,1,3,1
99 Francs,517322,173,Pathé,France,Comédie,2007-09-26,12447638,Tous publics,100,4,5,2007,9,39,3
Les Rois du patin,1488,177,Paramount,Etats-Unis,Comédie,2007-03-10,61000000,Tous publics,93,6,7,2007,3,10,1
Paranoiak,201177,178,Paramount,Etats-Unis,Thriller,2007-08-22,20000000,Moins de 12 ans,104,5,7,2007,8,34,3
En cloque mode d'emploi,117583,180,Paramount,Etats-Unis,Comédie,2007-10-10,30000000,Tous publics,129,5,5,2007,10,41,4
Les Rois de la glisse,444083,186,Sony Pictures,Etats-Unis,Animation 3D,2007-10-24,120000000,Tous publics,85,1,6,2007,10,43,4
Rush Hour 3,318681,188,Metropolitan,Etats-Unis,Comédie,2007-10-17,140000000,Tous publics,90,12,1,2007,10,42,4
L'Assassinat de Jesse James par le lâche Robert Ford,117110,189,Warner Bros.,Etats-Unis,Western,2007-10-10,30000000,Tous publics,160,6,5,2007,10,41,4
Le Deuxième souffle,260479,193,ARP Selection,France,Adaptation Livre,2007-10-24,21121564,Tous publics,156,2,9,2007,10,43,4
Les Femmes de ses rêves,266966,196,Paramount,Etats-Unis,Comédie,2007-11-28,60000000,Tous publics,158,11,8,2007,11,48,4
Il était une fois…,702718,198,Walt Disney Pictures,Etats-Unis,Fantasy,2007-11-28,75000000,Tous publics,107,4,2,2007,11,48,4
La Nuit nous appartient,264579,199,Wild Bunch,Etats-Unis,Thriller,2007-11-28,21000000,Tous publics,118,5,7,2007,11,48,4
Lions et agneaux,189810,201,20th Century Fox,Etats-Unis,Drame,2007-11-21,35000000,Tous publics,88,5,24,2007,11,47,4
Angles d'attaque,265553,202,Sony Pictures,Etats-Unis,Thriller,2008-03-19,40000000,Tous publics,90,2,6,2008,3,12,1
MR-73,448334,203,Gaumont,France,Thriller,2008-12-03,11130936,Moins de 12 ans,124,1,9,2008,12,49,4
A la croisée des mondes: La Boussole d'or,769581,206,Metropolitan,Etats-Unis,Fantasy,2007-05-12,190000000,Tous publics,120,5,14,2007,5,19,2
Bee movie - drole d'abeille,399704,207,Paramount,Etats-Unis,Animation 3D,2007-12-12,150000000,Tous publics,95,5,5,2007,12,50,4
Je suis une légende,1096518,208,Warner Bros.,Etats-Unis,Science Fiction,2007-12-19,150000000,Tous publics,100,7,16,2007,12,51,4
Le Rêve de Cassandre,196577,210,TFM Distribution,Etats-Unis,Comédie dramatique,2007-10-31,9000000,Tous publics,108,13,9,2007,10,44,4
American Gangster,485455,211,Paramount,Etats-Unis,Thriller,2007-11-14,100000000,Tous publics,160,18,14,2007,11,46,4
Frère Noël,6246,212,Warner Bros.,Etats-Unis,Comédie,2007-12-26,100000000,Tous publics,116,1,5,2007,12,52,4
Benjamin Gates et le Livre des Secrets,826848,214,Walt Disney Pictures,Etats-Unis,Aventure - Action,2008-02-13,125000000,Tous publics,124,9,17,2008,2,7,1
La Guerre selon Charlie Wilson,280835,217,Paramount,Etats-Unis,Comédie dramatique,2008-01-16,75000000,Tous publics,105,4,23,2008,1,3,1
Deux soeurs pour un roi,162306,218,Wild Bunch,Etats-Unis,Drame,2008-02-04,35000000,Tous publics,115,1,5,2008,2,6,1
Stardust - Le Mystère de l'étoile,180954,270,Paramount,Etats-Unis,Fantasy,2007-10-24,70000000,Tous publics,128,6,24,2007,10,43,4
Pénélope,76338,271,ARP Selection,Etats-Unis,Comédie dramatique,2008-09-04,15000000,Tous publics,101,5,7,2008,9,36,3
Le Royaume,242603,273,Paramount,Etats-Unis,Aventure - Action,2007-10-31,80000000,Moins de 12 ans,105,9,5,2007,10,44,4
Rogue l'ultime affrontement,114801,279,Metropolitan,Etats-Unis,Aventure - Action,2007-05-09,40000000,Moins de 12 ans,99,2,3,2007,5,19,2
Les Promesses de l'ombre,309843,281,Metropolitan,Etats-Unis,Thriller,2007-07-11,25000000,Moins de 12 ans,100,6,5,2007,7,28,3
Monsieur Woodcock,1775,283,Metropolitan,Etats-Unis,Comédie,2008-07-23,22000000,Tous publics,87,2,5,2008,7,30,3
Gone Baby Gone,134071,284,Walt Disney Pictures,Etats-Unis,Drame,2007-12-26,19000000,Moins de 12 ans,115,11,5,2007,12,52,4
3h10 pour Yuma,112959,285,TFM Distribution,Etats-Unis,Western,2008-03-26,50000000,Tous publics,117,10,14,2008,3,13,1
The Eye (2008),143604,287,Mars Distribution,Etats-Unis,Horreur,2008-09-04,22000000,Tous publics,97,2,6,2008,9,36,3
Nos souvenirs brûlés,24823,290,Paramount,Etats-Unis,Drame,2008-01-30,16000000,Tous publics,118,3,8,2008,1,5,1
Reviens-moi,151229,294,Studiocanal,Grande-Bretagne,Drame,2008-09-01,35000000,Tous publics,130,5,7,2008,9,36,3
Jeux de dupes,68461,295,Paramount,Etats-Unis,Comédie,2008-04-23,58000000,Tous publics,114,9,19,2008,4,17,2
P.S. I Love You,148178,296,SND,Etats-Unis,Romance,2008-06-02,30000000,Tous publics,126,4,11,2008,6,23,2
"Sweeney Todd, le diabolique barbier de Fleet Street",507434,298,Warner Bros.,Etats-Unis,Musical,2008-01-23,50000000,Moins de 12 ans,116,17,2,2008,1,4,1
Sin City : j'ai tué pour elle,185758,299,Metropolitan,Etats-Unis,Comicbook,2014-09-17,65000000,Moins de 12 ans,102,12,5,2014,9,38,3
Ce soir je dors chez toi,261274,317,Studiocanal,France,Comédie,2007-11-21,5570905,Tous publics,84,1,4,2007,11,47,4
"Pirates des Caraïbes, le secret du coffre maudit",2708112,321,Walt Disney Pictures,Etats-Unis,Aventure - Action,2006-02-08,225000000,Tous publics,150,9,19,2006,2,6,1
L'Age de glace 2,2171810,322,20th Century Fox,Etats-Unis,Animation 3D,2006-05-04,80000000,Tous publics,86,5,6,2006,5,18,2
Da Vinci code,1707373,325,Gaumont Sony,Etats-Unis,Thriller,2006-05-17,125000000,Tous publics,149,15,23,2006,5,20,2
Indigènes,834805,328,Mars Distribution,France,Guerre,2006-09-27,14475958,Tous publics,128,1,3,2006,9,39,3
Casino Royale (2006),1260348,329,Gaumont Sony,Etats-Unis,Aventure - Action,2006-11-22,150000000,Tous publics,138,8,11,2006,11,47,4
Ne le dis à personne,858599,330,EuropaCorp,France,Thriller,2006-01-11,11704565,Tous publics,125,6,5,2006,1,2,1
X-Men l'affrontement final,1548582,332,20th Century Fox,Etats-Unis,Comicbook,2006-05-24,150000000,Tous publics,104,12,8,2006,5,21,2
Eragon,792503,333,20th Century Fox,Etats-Unis,Fantasy,2006-12-20,100000000,Tous publics,105,2,2,2006,12,51,4
OSS 117: Le Caire nid d'espions,835334,334,Gaumont Sony,France,Comédie,2006-04-19,14096585,Tous publics,99,4,3,2006,4,16,2
Volver,340937,335,Pathé,Espagne,Comédie,2006-05-19,9400000,Tous publics,121,5,10,2006,5,20,2
La Nuit au musée,694177,336,20th Century Fox,Etats-Unis,Comédie,2007-07-02,120000000,Tous publics,108,10,8,2007,7,27,3
Le Diable s'habille en Prada,650335,337,20th Century Fox,Etats-Unis,Comédie,2006-09-27,35000000,Tous publics,106,2,10,2006,9,39,3
Hors de prix,527454,338,TFM Distribution,France,Comédie,2006-12-13,11700000,Tous publics,103,2,5,2006,12,50,4
Cars,438793,339,Walt Disney Pictures,Etats-Unis,Animation 3D,2006-06-14,70000000,Tous publics,116,5,6,2006,6,24,2
Fauteuils d'orchestre,601163,340,Mars Distribution,France,Comédie,2006-02-15,8000000,Tous publics,106,2,4,2006,2,7,1
Mission: Impossible III,996860,341,UIP,Etats-Unis,Aventure - Action,2006-03-05,150000000,Tous publics,126,6,24,2006,3,9,1
Les Infiltrés,616912,343,TFM Distribution,Etats-Unis,Thriller,2006-11-29,90000000,Tous publics,149,10,19,2006,11,48,4
Miami vice - Deux flics à Miami,730466,345,UIP,Etats-Unis,Aventure - Action,2006-08-16,135000000,Tous publics,135,5,9,2006,8,33,3
Les Rebelles de la forêt,320230,346,Gaumont Sony,Etats-Unis,Animation 3D,2006-10-18,85000000,Tous publics,99,1,3,2006,10,42,4
Happy Feet,375210,347,Warner Bros.,Etats-Unis,Animation 3D,2006-06-12,100000000,Tous publics,107,4,7,2006,6,24,2
Superman Returns,640412,348,Warner Bros.,Etats-Unis,Comicbook,2006-12-07,260000000,Tous publics,154,9,8,2006,12,49,4
"Nos voisins, les hommes",415679,349,UIP,Etats-Unis,Animation 3D,2006-05-07,130000000,Tous publics,96,3,10,2006,5,18,2
Blood Diamond,419722,352,Warner Bros.,Etats-Unis,Thriller,2007-01-31,100000000,Moins de 12 ans,138,8,19,2007,1,5,1
Souris City,374153,353,UIP,Etats-Unis,Animation 3D,2006-11-29,149000000,Tous publics,86,6,8,2006,11,48,4
Garfield 2,294524,355,20th Century Fox,Etats-Unis,Film familial,2006-07-19,60000000,Tous publics,78,2,4,2006,7,29,3
Marie-Antoinette,403555,356,Pathé,Etats-Unis,Drame,2006-05-24,40000000,Tous publics,123,6,7,2006,5,21,2
Inside Man,452311,357,UIP,Etats-Unis,Thriller,2006-12-04,45000000,Tous publics,129,9,8,2006,12,49,4
Rocky Balboa,670642,358,20th Century Fox,Etats-Unis,Aventure - Action,2007-01-24,24000000,Tous publics,102,8,12,2007,1,4,1
La Maison du bonheur,275370,360,Pathé,France,Comédie,2006-07-06,9400000,Tous publics,103,7,3,2006,7,27,3
Mon meilleur ami,230325,363,Wild Bunch,France,Comédie,2006-12-20,11300000,Tous publics,94,3,9,2006,12,51,4
The Holiday,399396,364,UIP,Etats-Unis,Romance,2006-12-27,85000000,Tous publics,138,5,13,2006,12,52,4
The Queen,308469,366,Pathé,Grande-Bretagne,Drame,2006-10-18,11600000,PG,97,7,5,2006,10,42,4
Le Parfum : histoire d'un meurtrier,305743,367,Metropolitan,Allemagne,Drame,2006-04-10,49515804,Tous publics,147,2,3,2006,4,15,2
"Je vais bien, ne t'en fais pas",207069,370,Mars Distribution,France,Drame,2006-06-09,4550000,Tous publics,100,1,3,2006,6,23,2
Scary Movie 4,497240,372,Walt Disney Pictures,Etats-Unis,Extra-terrestre,2006-06-21,45000000,PG,83,2,6,2006,6,25,2
Scoop,331714,378,TFM Distribution,Etats-Unis,Comédie dramatique,2006-01-11,4000000,Tous publics,96,13,11,2006,1,2,1
La Cité interdite,427400,380,SND,Chine,Aventure - Action,2007-03-14,45000000,Tous publics,114,3,4,2007,3,11,1
Nanny McPhee,173666,381,Mars Distribution,Grande-Bretagne,Film familial,2006-08-02,34000000,Tous publics,98,10,6,2006,8,31,3
Les Brigades du tigre,407863,384,TFM Distribution,France,Aventure - Action,2006-12-04,17810000,Tous publics,128,5,7,2006,12,49,4
Deja Vu,261617,386,Walt Disney Pictures,Etats-Unis,Thriller,2006-12-13,80000000,Tous publics,128,10,14,2006,12,50,4
Babel,200643,387,Mars Distribution,Etats-Unis,Drame,2006-11-15,25000000,Tous publics,135,3,13,2006,11,46,4
La Panthère rose,250854,394,20th Century Fox,Etats-Unis,Film familial,2006-08-03,80000000,Tous publics,93,10,4,2006,8,31,3
Basic Instinct 2,293727,409,Océan Films,Etats-Unis,Thriller,2006-03-29,70000000,Moins de 12 ans,114,3,3,2006,3,13,1
Mémoires de nos pères,272149,411,Warner Bros.,Etats-Unis,Guerre,2006-10-25,80000000,Tous publics,132,21,1,2006,10,43,4
La Ferme en folie,160674,414,Paramount,Etats-Unis,Animation 3D,2007-02-21,51000000,Tous publics,90,4,3,2007,2,8,1
Monster House,212679,420,Gaumont Sony,Etats-Unis,Animation 3D,2006-08-23,75000000,Tous publics,91,1,3,2006,8,34,3
"Lucas, fourmi malgré lui",153606,421,Warner Bros.,Etats-Unis,Animation 3D,2006-09-08,50000000,Tous publics,82,9,2,2006,9,36,3
Le Labyrinthe de Pan,177058,422,Wild Bunch,Espagne,Fantasy,2006-01-11,7000000,Moins de 12 ans,119,7,2,2006,1,2,1
Le Petit monde de Charlotte,105232,424,Paramount,Etats-Unis,Film familial,2007-07-02,85000000,Tous publics,97,4,5,2007,7,27,3
Le Dahlia noir,231815,425,Metropolitan,Etats-Unis,Thriller,2006-08-11,50000000,Moins de 12 ans,120,7,5,2006,8,32,3
Bandidas,208706,432,EuropaCorp,France,Aventure - Action,2006-01-18,27670000,Tous publics,95,1,6,2006,1,3,1
L'Homme de sa vie,155745,435,Wild Bunch,France,Comédie,2006-11-10,7260000,Tous publics,114,3,7,2006,11,45,4
Dreamgirls,216381,436,Paramount,Etats-Unis,Musical,2007-02-28,70000000,Tous publics,131,7,5,2007,2,9,1
Le Dernier roi d'Ecosse,92000,439,20th Century Fox,Grande-Bretagne,Drame,2007-02-14,6000000,Moins de 12 ans,121,5,3,2007,2,7,1
Slevin,113754,441,Metropolitan,Etats-Unis,Thriller,2006-06-28,27000000,PG,109,7,4,2006,6,26,2
Alex Rider : Stormbreaker,173072,447,Metropolitan,Grande-Bretagne,Film familial,2006-10-25,40000000,Tous publics,93,2,16,2006,10,43,4
L'Illusioniste,142608,455,Metropolitan,Etats-Unis,Drame,2007-01-17,16500000,Tous publics,110,3,5,2007,1,3,1
Thank You for Smoking,97914,464,Haut et Court,Etats-Unis,Comédie,2006-09-13,6500000,Tous publics,92,6,5,2006,9,37,3
Le Concile de Pierre,133365,475,UGC Distribution,France,Thriller,2006-11-15,20045158,Tous publics,100,2,2,2006,11,46,4
Le Prestige,122611,479,Warner Bros.,Etats-Unis,Fantasy,2006-11-15,40000000,Tous publics,128,10,14,2006,11,46,4
The Fountain,84542,480,TFM Distribution,Etats-Unis,Science Fiction,2006-12-27,35000000,Tous publics,98,5,11,2006,12,52,4
Coast Guards,79041,484,SND,Etats-Unis,Aventure - Action,2006-12-20,80000000,Tous publics,135,8,9,2006,12,51,4
Une grande année,116038,488,20th Century Fox,Etats-Unis,Comédie,2007-03-01,35000000,Tous publics,118,18,11,2007,3,9,1
Le Voile des illusions,84934,495,Metropolitan,Etats-Unis,Romance,2007-07-03,19400000,Tous publics,124,1,7,2007,7,27,3
Playboy à saisir,115483,497,TFM Distribution,Etats-Unis,Romance,2006-03-15,50000000,Tous publics,97,5,11,2006,3,11,1
L'Incroyable destin de Harold Crick,70911,499,Gaumont Sony,Etats-Unis,Comédie,2007-10-01,38000000,Tous publics,113,7,6,2007,10,40,4
Black Book,59797,503,Pathé,Pays-Bas,Drame,2006-11-29,17000000,Tous publics,145,4,5,2006,11,48,4
Little Children,70380,511,Metropolitan,Etats-Unis,Drame,2007-01-24,14000000,Tous publics,130,3,4,2007,1,4,1
The Good German,67323,521,Warner Bros.,Etats-Unis,Guerre,2007-02-14,32000000,Tous publics,105,15,13,2007,2,7,1
Camping car,55491,522,Gaumont Sony,Etats-Unis,Comédie,2006-07-19,50000000,Tous publics,98,7,4,2006,7,29,3
Jugez-moi coupable,66767,529,Metropolitan,Etats-Unis,Thriller,2006-09-13,13000000,PG,125,1,14,2006,9,37,3
American Dreamz,55077,539,UIP,Etats-Unis,Comédie,2006-07-06,19000000,Tous publics,107,3,12,2006,7,27,3
Toi et moi... et Dupree,49993,544,UIP,Etats-Unis,Romance,2006-08-11,54000000,Tous publics,108,6,4,2006,8,32,3
Scandaleusement célèbre,31899,549,ARP Selection,Etats-Unis,Drame,2007-04-04,13000000,Tous publics,118,6,11,2007,4,14,2
A Scanner Darkly,24041,554,Warner Bros.,Etats-Unis,Science Fiction,2006-09-13,20000000,PG,100,7,7,2006,9,37,3
"Georges, le petit curieux",29701,561,UIP,Etats-Unis,Animation,2006-02-08,50000000,PG,86,4,6,2006,2,6,1
Fur : un portrait imaginaire de Diane Arbus,23348,566,Metropolitan,Etats-Unis,Drame,2007-10-01,16800000,Tous publics,120,7,14,2007,10,40,4
Les Fous du roi,26161,573,Gaumont Sony,Etats-Unis,Drame,2006-01-11,55000000,Tous publics,128,7,9,2006,1,2,1
L'Ecole des dragueurs,13433,581,TFM Distribution,Etats-Unis,Comédie,2007-05-16,35000000,Tous publics,100,7,4,2007,5,20,2
Deep Sea - Dansons sous la mer,3286,611,Géode,Etats-Unis,Documentaire,2007-06-13,1000000,Tous publics,40,9,4,2007,6,24,2
Raisons d'Etat,165113,614,Studiocanal,Etats-Unis,Thriller,2007-04-07,110000000,Tous publics,160,3,24,2007,4,14,2
Harry Potter et la coupe de feu,3088796,700,Warner Bros.,Etats-Unis,Fantasy,2005-11-30,150000000,PG,153,5,8,2005,11,48,4
La Revanche des Sith,3303005,701,20th Century Fox,Etats-Unis,Fantasy,2005-05-18,113000000,Tous publics,146,4,16,2005,5,20,2
Charlie et la chocolaterie,766547,704,Warner Bros.,Etats-Unis,Film familial,2005-07-13,150000000,Tous publics,106,17,19,2005,7,28,3
La Guerre des mondes,1700096,705,UIP,Etats-Unis,Science Fiction,2005-06-07,132000000,Tous publics,117,22,24,2005,6,23,2
King Kong (2005),1441705,706,UIP,Etats-Unis,Aventure - Action,2005-12-14,207000000,Tous publics,187,9,13,2005,12,50,4
Madagascar,874013,707,UIP,Etats-Unis,Animation 3D,2005-06-22,75000000,Tous publics,86,3,3,2005,6,25,2
Mr. & Mrs. Smith,1132991,708,SND,Etats-Unis,Aventure - Action,2005-07-27,110000000,Tous publics,115,6,14,2005,7,30,3
Les Poupées russes,662329,709,Mars Distribution,France,Comédie,2005-06-15,10670000,Tous publics,125,5,6,2005,6,24,2
Iznogoud,1116637,711,TFM Distribution,France,Comédie,2005-09-02,22902227,Tous publics,95,1,1,2005,9,35,3
Les 4 Fantastiques,952331,713,20th Century Fox,Etats-Unis,Comicbook,2005-07-20,100000000,Tous publics,123,5,5,2005,7,29,3
Wallace et Gromit: Le Mystère du lapin-garou,452343,714,UIP,Grande-Bretagne,Animation,2005-12-10,30000000,Tous publics,85,3,12,2005,12,49,4
La Légende de Zorro,1122957,715,Gaumont Sony,Etats-Unis,Western,2005-10-26,80000000,Tous publics,130,8,12,2005,10,43,4
Joyeux Noël,606009,717,UGC Distribution,France,Drame,2005-09-11,18151814,Tous publics,116,6,6,2005,9,36,3
The Island,630433,721,Warner Bros.,Etats-Unis,Science Fiction,2005-08-17,122000000,Tous publics,132,12,5,2005,8,33,3
