title,nbre_entrees,id,distributeur,country,genre,date,budget,public,durée,Name1,Name2,year,month,week,season
Ricki and the Flash,54664,15219,Sony Pictures,Etats-Unis,Comédie dramatique,2015-02-09,18000000,Tous publics,102,3,2,2015,2,7,1
Manglehorn,15328,15220,Le Pacte,Etats-Unis,Drame,2015-03-06,4000000,Tous publics,97,1,7,2015,3,10,1
Valley of Love,79429,15271,Le Pacte,France,Drame,2015-06-17,2900626,Tous publics,92,2,12,2015,6,25,2
Carol,167192,15279,UGC Distribution,Grande-Bretagne,Drame,2016-01-13,11800000,Tous publics,118,1,13,2016,1,2,1
The Lobster,91237,15281,Haut et Court,Grèce,Comédie dramatique,2015-10-28,4081365,Tous publics,118,11,4,2015,10,44,4
Youth,137377,15282,Pathé,Italie,Drame,2015-09-09,12830067,Tous publics,118,2,3,2015,9,37,3
Pirates des Caraïbes : La Vengeance de Salazar,1346594,15285,Walt Disney Pictures,Etats-Unis,Aventure - Action,2017-05-24,230000000,Tous publics,129,3,19,2017,5,21,2
Zoolander 2,46701,15286,Paramount,Etats-Unis,Comédie,2016-02-03,50000000,Tous publics,100,4,12,2016,2,5,1
Toy Story 4,1505679,15289,Walt Disney Pictures,Etats-Unis,Animation 3D,2019-06-26,200000000,Tous publics,100,2,4,2019,6,26,2
"Moi, Moche et Méchant 3",1756100,15290,Universal,Etats-Unis,Animation 3D,2017-05-07,75000000,Tous publics,96,7,5,2017,5,18,2
Docteur Frankenstein,106131,15292,20th Century Fox,Etats-Unis,Fantasy,2015-11-25,40000000,Tous publics,109,5,8,2015,11,48,4
Peter et Elliot le dragon (le film),287349,15300,Walt Disney Pictures,Etats-Unis,Film familial,2016-08-17,65000000,Tous publics,102,1,5,2016,8,33,3
N.W.A - Straight Outta Compton,219830,15318,Universal,Etats-Unis,Drame,2015-09-16,28000000,Tous publics,147,8,5,2015,9,38,3
American Ultra,162311,15319,Metropolitan,Etats-Unis,Comédie,2015-08-19,28000000,Tous publics,96,5,9,2015,8,34,3
No Escape (2015),101927,15376,SND,Etats-Unis,Aventure - Action,2015-02-09,5000000,Moins de 12 ans,101,3,12,2015,2,7,1
Le Tout Nouveau Testament,301140,15384,Le Pacte,France,Comédie,2015-02-09,8695542,Tous publics,110,6,2,2015,2,7,1
Le Nouveau stagiaire,170117,15390,Warner Bros.,Etats-Unis,Comédie,2015-07-10,35000000,Tous publics,121,5,10,2015,7,28,3
Maryland,46756,15391,Mars Distribution,France,Drame,2015-09-30,4850000,Tous publics,100,1,5,2015,9,40,3
Le Prodige,42290,15392,Metropolitan,Etats-Unis,Drame,2015-09-16,19000000,PG,114,2,6,2015,9,38,3
Prémonitions,329959,15393,SND,Etats-Unis,Thriller,2015-09-09,30000000,Tous publics,101,11,4,2015,9,37,3
Steve Jobs,92271,15395,Universal,Etats-Unis,Drame,2016-03-02,30000000,Tous publics,122,9,10,2016,3,9,1
Les Huit salopards,759450,15397,SND,Etats-Unis,Western,2016-06-01,44000000,Moins de 12 ans,182,8,14,2016,6,22,2
Randonneurs Amateurs,23660,15407,Metropolitan,Etats-Unis,Comédie,2016-01-13,8000000,Tous publics,98,2,5,2016,1,2,1
Jason Bourne,608491,15431,Universal,Etats-Unis,Aventure - Action,2016-10-08,120000000,Tous publics,123,5,24,2016,10,40,4
L'Age de glace : les lois de l'Univers,1232859,15432,20th Century Fox,Etats-Unis,Animation 3D,2016-07-13,105000000,Tous publics,94,5,6,2016,7,28,3
La 5ème vague,428597,15442,Sony Pictures,Etats-Unis,Science Fiction,2016-01-27,38000000,Tous publics,112,3,6,2016,1,4,1
Star Trek Sans limites,344813,15447,Paramount,Etats-Unis,Science Fiction,2016-08-17,185000000,Tous publics,120,5,7,2016,8,33,3
A vif !,217940,15462,SND,Etats-Unis,Comédie,2015-04-11,20000000,Tous publics,100,4,6,2015,4,15,2
Truth : Le Prix de la vérité,59310,15469,Warner Bros.,Etats-Unis,Drame,2016-06-04,9600000,Tous publics,121,5,5,2016,6,22,2
Phantom Boy,33691,15474,Diaphana,France,Animation,2015-10-14,3998949,Tous publics,84,5,6,2015,10,42,4
Les Suffragettes,58277,15477,Pathé,Grande-Bretagne,Drame,2015-11-18,14000000,Tous publics,106,2,5,2015,11,47,4
Lolo,443169,15485,Mars Distribution,France,Comédie,2015-10-28,8361365,Tous publics,99,7,2,2015,10,44,4
Avril et le monde truqué,39222,15489,Studiocanal,France,Animation,2015-04-11,9180292,Tous publics,105,2,3,2015,4,15,2
"En Mai, fais ce qu'il te plaît",109773,15491,Pathé,France,Drame,2015-04-11,15180033,Tous publics,113,2,1,2015,4,15,2
Spotlight,198197,15497,Warner Bros.,Etats-Unis,Drame,2016-01-27,20000000,Tous publics,128,1,6,2016,1,4,1
Dalton Trumbo,57651,15498,UGC Distribution,Etats-Unis,Drame,2016-04-27,15000000,Tous publics,124,9,4,2016,4,17,2
