iter	Passed	Remaining
482	676	724
483	678	723
484	679	721
485	681	720
486	683	719
487	684	718
488	686	716
489	687	715
490	688	713
491	690	712
492	691	711
493	692	709
494	694	708
495	696	707
496	697	706
497	699	704
498	700	703
499	701	701
500	703	701
501	705	699
502	706	698
503	707	696
504	709	695
505	710	693
506	711	692
507	713	690
508	714	689
509	715	687
510	716	685
511	718	684
512	719	683
513	722	682
514	723	681
515	725	680
516	726	679
517	728	677
518	729	676
519	730	674
520	731	672
521	733	671
522	735	670
523	737	669
524	738	668
525	739	666
526	741	665
527	743	664
528	744	662
529	745	661
530	747	660
531	748	658
532	750	657
533	751	655
534	752	654
535	754	653
536	756	651
537	757	650
538	758	648
539	759	647
540	760	645
541	762	644
542	764	643
543	765	641
544	767	640
545	768	639
546	770	638
547	772	636
548	773	635
549	775	634
550	776	633
551	778	631
552	779	630
553	781	629
554	782	627
555	784	626
556	785	624
557	787	623
558	789	622
559	790	621
560	791	619
561	793	618
562	794	616
563	796	615
564	798	614
565	799	613
566	801	611
567	802	610
568	804	609
569	805	607
570	807	606
571	808	605
572	810	604
573	812	602
574	813	601
575	815	599
576	816	598
577	817	596
578	819	595
579	820	594
580	821	592
581	823	591
582	824	589
583	825	587
584	826	586
585	827	584
586	829	583
587	831	582
588	832	580
589	833	579
590	834	577
591	835	575
592	836	574
593	837	572
594	838	570
595	839	569
596	840	567
597	842	566
598	843	564
599	844	563
600	846	561
601	847	560
602	849	559
603	850	557
604	851	556
605	852	554
606	854	552
607	855	551
608	856	549
609	857	548
610	859	546
611	860	545
612	861	544
613	863	542
614	864	541
615	866	539
616	867	538
617	868	537
618	870	535
619	871	534
620	873	533
621	875	531
622	877	530
623	879	529
624	880	528
625	882	527
626	886	527
627	890	527
628	892	526
629	896	526
630	899	526
631	926	539
632	933	540
633	934	539
634	937	539
635	940	538
636	942	536
637	952	540
638	954	539
639	956	538
640	959	537
641	960	535
642	962	534
643	963	532
644	964	531
645	965	529
646	967	527
647	968	526
648	970	524
649	971	523
650	973	521
651	974	520
652	976	518
653	978	517
654	981	516
655	983	515
656	985	514
657	987	513
658	988	511
659	990	510
660	994	509
661	995	508
662	997	506
663	998	505
664	1000	503
665	1004	503
666	1005	502
667	1008	501
668	1010	500
669	1012	498
670	1013	496
671	1014	495
672	1016	493
673	1017	492
674	1019	490
675	1020	489
676	1021	487
677	1023	486
678	1024	484
679	1026	482
680	1027	481
681	1029	480
682	1031	478
683	1032	477
684	1034	475
685	1035	474
686	1037	472
687	1038	471
688	1040	469
689	1041	467
690	1042	466
691	1044	464
692	1045	463
693	1047	461
694	1048	460
695	1050	458
696	1051	457
697	1052	455
698	1054	453
699	1055	452
700	1056	450
701	1057	449
702	1059	447
703	1060	445
704	1061	444
705	1063	442
706	1064	441
707	1066	439
708	1067	438
709	1069	436
710	1070	435
711	1071	433
712	1072	431
713	1073	430
714	1076	429
715	1077	427
716	1078	425
717	1079	424
718	1080	422
719	1082	420
720	1083	419
721	1084	417
722	1086	416
723	1087	414
724	1089	413
725	1090	411
726	1091	409
727	1093	408
728	1094	406
729	1096	405
730	1097	403
731	1098	402
732	1099	400
733	1101	399
734	1102	397
735	1103	395
736	1105	394
737	1106	392
738	1108	391
739	1110	390
740	1112	388
741	1113	387
742	1115	385
743	1117	384
744	1118	382
745	1120	381
746	1121	379
747	1122	378
748	1124	376
749	1125	375
750	1127	373
751	1128	372
752	1131	371
753	1133	369
754	1134	368
755	1135	366
756	1137	365
757	1144	365
758	1146	364
759	1147	362
760	1149	360
761	1150	359
762	1151	357
763	1152	356
764	1154	354
765	1155	352
766	1156	351
767	1158	349
768	1159	348
769	1160	346
770	1162	345
771	1163	343
772	1165	342
773	1166	340
774	1167	339
775	1169	337
776	1170	335
777	1172	334
778	1173	332
779	1175	331
780	1176	329
781	1178	328
782	1179	326
783	1180	325
784	1182	323
785	1184	322
786	1185	320
787	1186	319
788	1187	317
789	1189	316
790	1190	314
791	1191	313
792	1193	311
793	1194	310
794	1196	308
795	1197	306
796	1198	305
797	1200	303
798	1201	302
799	1202	300
800	1204	299
801	1206	297
802	1207	296
803	1208	294
804	1210	293
805	1211	291
806	1213	290
807	1215	288
808	1216	287
809	1218	285
810	1219	284
811	1221	282
812	1223	281
813	1224	279
814	1226	278
