iter	RMSE
421	130442.5784
422	130378.6628
423	130238.4333
424	130100.5998
425	130006.9413
426	129932.0107
427	129799.7374
428	129684.7456
429	129616.5841
430	129511.9113
431	129395.0029
432	129310.8269
433	129144.1555
434	129021.2738
435	128859.4192
436	128801.1352
437	128731.1358
438	128603.1788
439	128503.723
440	128355.2655
441	128229.5162
442	128111.0385
443	128000.2444
444	127835.4735
445	127742.8554
446	127673.608
447	127532.808
448	127465.8315
449	127307.2488
450	127174.9515
451	127021.3738
452	126916.3857
453	126837.7423
454	126755.6566
455	126650.739
456	126589.9678
457	126551.1725
458	126387.5736
459	126264.0461
460	126130.5766
461	126070.9548
462	125992.8185
463	125874.6755
464	125719.548
465	125656.5016
466	125530.5556
467	125452.4408
468	125323.3621
469	125115.9164
470	125022.3409
471	124858.1134
472	124756.6897
473	124646.7898
474	124448.9403
475	124367.5902
476	124295.0591
477	124145.1864
478	124085.5164
479	123999.9017
480	123928.4401
481	123839.6232
482	123751.1658
483	123628.93
484	123532.437
485	123373.3287
486	123273.8763
487	123129.0476
488	122993.9643
489	122926.8396
490	122826.0487
491	122668.6307
492	122594.4703
493	122392.7222
494	122195.8081
495	122163.8687
496	122110.674
497	122019.2117
498	121906.0357
499	121856.2913
500	121802.197
501	121686.686
502	121560.5332
503	121414.7763
504	121344.2769
505	121277.4145
506	121154.7988
507	121057.477
508	120924.3281
509	120782.491
510	120752.1609
511	120618.5809
512	120485.8323
513	120382.8153
514	120320.8125
515	120157.1049
516	120040.994
517	119938.6035
518	119795.1496
519	119709.024
520	119538.3541
521	119429.9081
522	119195.2014
523	119065.3079
524	119007.0628
525	118951.5535
526	118892.5088
527	118791.3481
528	118645.9763
529	118584.6518
530	118462.9486
531	118345.9984
532	118309.3111
533	118192.8429
534	118149.2995
535	118034.092
536	117936.4701
537	117902.4237
538	117821.0117
539	117718.7165
540	117529.1206
541	117348.6951
542	117223.2943
543	117157.3143
544	117091.3867
545	117032.5761
546	116986.0486
547	116872.8461
548	116776.7828
549	116670.5764
550	116497.8287
551	116442.6533
552	116366.2243
553	116273.6285
554	116225.82
555	116083.1776
556	115961.8177
557	115879.3313
558	115812.5697
559	115754.3762
560	115697.5905
561	115641.3192
562	115533.2384
563	115378.3435
564	115308.4467
565	115211.3383
566	115153.9824
567	115070.9593
568	114985.3041
569	114896.875
570	114833.611
571	114696.2051
572	114635.53
573	114573.5573
574	114529.3466
575	114305.3403
576	114219.1635
577	114151.1161
578	114096.6475
579	114040.5049
580	113963.0587
581	113798.1873
582	113725.6241
583	113688.0487
584	113630.7963
585	113594.0431
586	113561.71
587	113496.5804
588	113446.1863
589	113385.1106
590	113239.6553
591	113086.4221
592	113030.4949
593	112841.2693
594	112720.4775
595	112620.6056
596	112533.4232
597	112480.0641
598	112461.5317
599	112378.5014
600	112253.8883
601	112166.3395
602	112091.9142
603	112056.3376
604	111985.4688
605	111895.4828
606	111840.5824
607	111711.504
608	111621.2876
609	111533.6879
610	111327.5918
611	111248.7015
612	111184.1829
613	111099.9511
614	111063.7638
615	110924.1242
616	110831.2336
617	110781.5846
618	110646.2784
619	110616.0204
620	110580.2386
621	110539.8745
622	110464.989
623	110353.4769
624	110293.277
625	110205.0978
626	110140.2394
627	110070.733
628	110037.654
629	109967.2018
630	109927.3413
631	109807.7746
632	109671.2974
633	109589.4528
634	109506.8897
635	109464.1701
636	109310.9826
637	109194.6598
638	109149.5906
639	109109.7369
640	108924.9871
641	108889.8067
642	108741.7336
643	108664.4035
644	108616.1435
645	108585.2924
646	108515.8382
647	108456.7048
648	108349.7298
649	108302.9816
650	108265.7626
651	108143.9519
652	108074.0852
653	107982.0983
654	107923.164
655	107877.0941
656	107796.0779
657	107709.3234
658	107677.2336
659	107585.9568
660	107507.726
661	107427.5719
662	107336.4372
663	107296.6631
664	107219.6322
665	107198.9258
666	107103.7407
667	107055.9401
668	107003.3319
669	106972.5476
670	106876.8591
671	106812.7142
672	106746.7023
673	106670.8459
674	106496.2305
675	106411.405
676	106308.2156
677	106243.8067
678	106197.1934
679	106131.4805
680	106040.1566
681	105920.0712
682	105848.8784
683	105827.3805
684	105711.2567
685	105682.1566
686	105627.797
687	105560.0984
688	105475.952
689	105408.2919
690	105380.9179
691	105265.3312
692	105240.2028
693	105116.1311
694	105013.6394
695	104960.9405
696	104916.3021
697	104852.0647
698	104780.6517
699	104758.3366
700	104678.7933
701	104628.659
702	104548.9967
703	104474.0945
704	104428.9927
705	104376.3835
706	104313.4848
707	104217.728
708	104151.1465
709	104009.8679
710	103942.0899
711	103831.2685
712	103776.784
713	103747.0533
714	103728.4108
715	103668.0128
716	103595.4433
717	103567.6959
718	103464.7751
719	103412.9725
720	103375.1981
721	103350.5812
722	103274.8358
723	103170.4438
724	103097.0986
725	102998.9915
726	102968.3294
727	102919.1369
728	102883.5119
729	102797.8328
730	102771.949
731	102738.6913
732	102713.4961
733	102626.4143
734	102608.6267
735	102583.7277
736	102501.3593
737	102429.9576
738	102360.1032
739	102328.6738
740	102212.8168
741	102134.2585
742	102101.583
743	102046.0309
744	101990.6904
745	101966.1209
746	101937.0226
747	101892.9432
748	101865.0907
749	101788.6708
750	101726.8546
751	101682.5838
752	101639.7223
753	101541.7646
754	101455.3653
755	101416.8613
756	101334.9881
757	101216.3297
758	101173.0509
759	101121.1875
760	101017.2495
761	100911.6551
762	100813.0901
763	100767.1686
764	100679.0522
765	100626.6448
766	100568.8874
767	100527.5693
768	100467.6905
769	100355.1444
770	100295.6416
771	100239.6725
772	100213.273
773	100178.4497
774	100134.877
775	100055.4569
776	100026.2241
777	99969.14026
778	99905.37498
779	99820.70709
780	99750.89516
781	99703.78354
782	99598.95226
783	99543.52639
784	99518.04411
785	99504.30082
786	99381.4248
787	99275.2743
788	99168.16693
789	99114.78526
790	99006.03866
791	98915.25254
792	98895.56129
793	98849.60534
794	98816.31368
795	98776.29269
796	98690.91725
797	98629.00327
798	98564.27981
799	98549.8457
800	98517.86407
801	98448.63558
802	98356.02097
803	98309.28242
804	98287.40302
805	98246.01654
806	98197.67336
807	98121.64644
808	98089.08575
809	98053.29808
810	97967.06583
811	97918.00128
812	97847.18733
813	97813.1105
814	97714.13195
815	97674.14146
816	97571.14804
817	97525.54376
818	97493.7577
819	97466.33004
820	97406.80331
821	97369.80434
822	97236.45461
823	97188.2151
824	97100.75439
825	96978.05653
826	96878.55815
827	96843.9297
828	96743.56441
829	96682.41253
830	96629.4181
831	96568.07229
832	96484.60822
833	96479.70842
834	96475.4856
835	96369.96736
836	96347.29436
837	96269.05122
838	96181.071
839	96128.85817
840	96021.30072
841	95985.64571
842	95950.19693
843	95898.09402
844	95848.26615
845	95773.98968
846	95701.85251
847	95555.34466
848	95520.42693
849	95489.22126
850	95384.08894
851	95344.55362
852	95256.91213
853	95228.20763
854	95146.56299
855	95066.91368
856	95004.77102
857	94917.83876
858	94907.59386
859	94837.58746
860	94769.90031
861	94708.20894
862	94696.08539
863	94624.00316
864	94588.89042
865	94487.36026
866	94392.12498
867	94315.95988
868	94274.37155
869	94236.26526
870	94168.84253
871	94094.00722
872	94045.32753
873	94006.36469
874	93956.30996
875	93890.93009
876	93845.98797
877	93779.40875
878	93744.96707
879	93741.40539
880	93706.524
881	93626.96289
882	93577.04274
883	93508.82151
884	93449.56847
885	93385.45816
886	93350.49577
887	93346.40364
888	93255.85228
889	93252.29743
890	93216.23621
891	93200.46826
892	93176.23019
893	93109.92571
894	93040.48056
895	92916.46081
896	92887.09148
897	92824.09634
898	92764.68736
899	92704.95654
900	92656.15182
901	92598.30654
902	92557.33612
903	92509.74586
904	92445.32315
905	92410.17405
906	92366.59109
907	92345.59102
908	92317.46677
909	92302.61834
910	92153.04979
911	92085.70155
912	92022.16415
913	91943.55721
914	91888.65142
915	91790.00676
916	91758.30377
917	91725.93216
918	91614.87494
919	91604.15943
920	91575.76471
921	91487.85432
922	91440.84971
923	91405.73244
924	91390.79153
925	91363.42839
926	91309.52611
927	91233.17673
928	91203.17178
929	91128.19591
930	91106.20182
931	91052.09939
932	90973.85087
933	90903.42019
934	90884.35723
935	90855.62203
936	90830.77253
937	90759.5621
938	90645.85295
939	90596.31787
940	90559.94104
941	90493.13424
942	90397.0545
943	90306.46984
944	90290.35086
945	90233.94192
946	90201.79087
947	90171.60395
948	90131.77314
949	90080.02232
950	89992.47071
951	89956.00068
952	89914.29251
953	89862.82924
954	89783.42219
955	89764.2539
956	89704.44448
957	89644.78874
958	89605.58904
959	89591.64434
960	89556.27829
961	89540.30684
962	89474.3341
963	89423.95741
964	89397.99323
965	89372.9875
966	89328.72147
967	89301.30265
968	89248.53028
969	89191.56596
970	89175.78932
971	89089.90862
972	89048.42825
973	88988.34131
974	88915.41485
975	88879.66198
976	88847.43739
977	88783.61896
978	88725.8819
979	88722.10644
980	88692.31574
981	88655.49242
982	88560.66895
983	88557.41607
984	88538.57636
985	88511.4943
986	88454.90644
987	88373.72617
988	88301.10775
989	88209.35798
990	88139.05102
991	88066.13734
992	88015.02039
993	87985.13391
994	87924.53479
995	87826.07771
996	87783.29588
997	87704.6028
998	87630.45022
999	87574.0489
